term,type,synonyms,expand_to
EUXP,system,"전시시스템,전시편성시스템","EUXP는 B tv 전시/편성 시스템이다."
NCMS,system,"콘텐츠관리시스템,CMS","NCMS는 B tv 콘텐츠 관리 시스템이다."
LCMS,system,"구 CMS,레거시 CMS","LCMS는 과거 레거시 콘텐츠 관리 시스템이다."
SEQ,field,"sequence,시퀀스,sequence number","SEQ는 시퀀스 번호를 의미한다."
PrePRD,env,"pre production,pre prod,사전상용,Pre,pre,Pre-PRD","PrePRD는 운영 배포 직전의 사전상용 환경이다."
STG,env,"staging,stage,테스트환경","STG는 서비스 테스트용 staging 환경이다."
config,field,"설정파일,설정값","config는 시스템 설정파일을 의미한다."
큐 발송,process,"큐 전송,큐,Queue","큐 발송은 NCMS의 데이터가 변경되었을 때, DIST_DTS 테이블에 레코드를 남겨서 EUXP-ES-Batch가 인식하도록 신호를 남기는 작업이다."
이미지 다운로드,action,"썸네일 다운로드,ECDN 다운로드","이미지 다운로드는 ECDN에서 이미지를 가져오는 작업이다."
EUXP-ES-Batch,system,"ES-Batch","EUXP-ES-Batch는 EUXP의 서브 시스템으로 NCMS의 데이터를 EUXP의 ElasticSearch에 적재하는 역할을 맡는다."
NCMSAPI-History,system,"history,히스토리,API-History,History API","NCMSAPI-History는 NCMS의 서브 시스템으로 NCMS-EUXP Full을 시작하는 역할을 맡는다."
NCMSAPI-Batch,system,"API-Batch,Batch API","NCMSAPI-Batch는 NCMS의 서브시스템으로 NCMS-EUXP Full에서 NCMS의 데이터를 tar파일로 패키징하는 역할을 맡는다."
NCMSAPI-Contents,system,"API-Contents,실시간,Contents API,contents","NCMSAPI-Contents는 NCMS의 서브시스템으로 EUXP-ES-Batch에 단건 데이터를 전달하는 역할을 맡는다."
NCMS-EUXP Full,process,"Full,풀,풀배치,풀 배치","NCMS-EUXP Full은 NCMS DB의 데이터를 EUXP ElasticSearch에 동기화하는 프로세스이다."
jobPASS,system,"잡패스,JOBPASS,잡 패스","jobPASS는 배치 관리 시스템이다. NCMS-Batch의 job들이 등록되어 있다."
API 오류,error,"API 에러,API 장애,API 실패","API 오류는 외부 API 호출 실패를 의미한다."
배치,process,"batch,스케줄 작업","배치는 정기적으로 실행되는 자동 작업이다."